dataset,method,graph_id,label,num_nodes,mean_saliency_raw,max_saliency_raw,std_saliency_raw,mean_saliency_norm,max_saliency_norm,std_saliency_norm
MUTAG,GIN,107,1,19,0.47566238045692444,0.779443621635437,0.19886955618858337,0.5594229926852236,0.9999999985496901,0.2884224796141808
MUTAG,Graph2Vec,107,1,19,0.9651802976898871,1.290123194634599,0.17774479423278824,0.4847945318909403,0.9999999984144738,0.28181902265250725
MUTAG,NetLSD,107,1,19,0.0004269862786009499,0.005739763772617756,0.0012820037461006074,0.0739496833041103,0.9999998256937838,0.22346122211170596
MUTAG,GIN,45,1,23,0.40713900327682495,0.6421279311180115,0.15403218567371368,0.5861674749636896,0.9999999982389276,0.27126182659490816
MUTAG,Graph2Vec,45,1,23,1.0025207270270742,1.5065230467492716,0.19750982251153423,0.3589175153452781,0.9999999987280168,0.25122917604421036
MUTAG,NetLSD,45,1,23,0.00024216487626819693,0.0038675430457819626,0.0007897494248580046,0.062266968551752344,0.999999741342081,0.20427494273817767
MUTAG,GIN,160,1,26,0.3355455994606018,0.5705915689468384,0.15873074531555176,0.5344556992526746,0.9999999980193477,0.31439043978526904
MUTAG,Graph2Vec,160,1,26,1.0301383969245836,1.4111896682493597,0.13867539586422956,0.37837289812911706,0.9999999983686524,0.22622778269693095
MUTAG,NetLSD,160,1,26,0.0003086370867484209,0.003006591232604494,0.0007951547335682446,0.10232686105926748,0.9999996672764778,0.2645666836686047
MUTAG,GIN,63,1,20,0.38697177171707153,0.6740068197250366,0.20177507400512695,0.5127086920717088,0.9999999983023281,0.3425478815896863
MUTAG,Graph2Vec,63,1,20,0.9815371474529048,1.4662907098435993,0.20044986135060772,0.3479581842241718,0.9999999986549004,0.2696250248329216
MUTAG,NetLSD,63,1,20,0.0007458915659449228,0.0051466448852306446,0.0015360665766273737,0.1445418155678309,0.9999998056110107,0.29859442937997727
MUTAG,GIN,122,0,17,0.44531992077827454,0.742905855178833,0.18493779003620148,0.5367508830074336,0.9999999984433098,0.28789085995594926
MUTAG,Graph2Vec,122,0,17,1.0158274319312786,1.469984868730884,0.20078180738716692,0.40375335953098096,0.9999999986871367,0.2635990697453242
MUTAG,NetLSD,122,0,17,0.0009768878928436045,0.007225439868977279,0.0017852328029901669,0.13465129578508722,0.999999861512144,0.2472330631891963
MUTAG,GIN,83,0,11,0.5616010427474976,0.9282909035682678,0.2500768303871155,0.526194142585946,0.9999999987078841,0.3231282539245446
MUTAG,Graph2Vec,83,0,11,0.977900622041161,1.5080370953697124,0.21882066067717354,0.32783146105042493,0.999999998732084,0.277446225456657
MUTAG,NetLSD,83,0,11,0.0030012482121136515,0.017838177113206788,0.005107663428674593,0.16708318968317787,0.9999999438619165,0.2867344362710837
ENZYMES,GIN,434,2,24,1.3395227193832397,3.2961580753326416,0.7738384008407593,0.3003094428674572,0.9999999996424012,0.2767237124132103
ENZYMES,Graph2Vec,434,2,24,1.012015721467805,1.4132173256745864,0.16009117921348545,0.45399991818530766,0.9999999986390881,0.2178700080308058
ENZYMES,NetLSD,434,2,24,1.64437390655775e-05,7.290956788397196e-05,1.9791579765299294e-05,0.22077457198771164,0.9999862002976913,0.2731179089807649
ENZYMES,GIN,122,4,90,0.049658603966236115,0.21231505274772644,0.035660520195961,0.1555187042371128,0.9999999948081904,0.18514261994480807
ENZYMES,Graph2Vec,122,4,90,1.003245434305979,1.5094338990785359,0.19538848165808664,0.5327327010804037,0.9999999990768906,0.18036493171576534
ENZYMES,NetLSD,122,4,90,7.470519729415839e-06,0.00011595530493813122,2.1516162183263268e-05,0.06428583693397048,0.9999913747763243,0.18558171147465433
ENZYMES,GIN,224,0,18,0.36477166414260864,0.6272599697113037,0.14634765684604645,0.4103854188918797,0.9999999977537489,0.3287335649943714
ENZYMES,Graph2Vec,224,0,18,0.9534866464620604,1.2581301472784179,0.1988809227260629,0.55059068229865,0.9999999985248026,0.2933886304918248
ENZYMES,NetLSD,224,0,18,0.000114429859577942,0.00080695746734194,0.0002361662246225859,0.13950675135365967,0.9999987574618016,0.2934455552705254
ENZYMES,GIN,479,2,24,0.4086119830608368,0.843472421169281,0.21902242302894592,0.40549956231631806,0.9999999986328938,0.2994269146510339
ENZYMES,Graph2Vec,479,2,24,1.058401807694966,1.496736818083211,0.19754989864667977,0.36016312080931945,0.9999999985403017,0.2883632549319023
ENZYMES,NetLSD,479,2,24,0.00015906088921698036,0.0008909779997375855,0.0003009829085718376,0.17777898761214136,0.9999988766215775,0.3381177050276196
ENZYMES,GIN,205,0,22,0.37532126903533936,0.5578919649124146,0.08107470721006393,0.45171564265255343,0.9999999969968658,0.2434782131774001
ENZYMES,Graph2Vec,205,0,22,1.0629195656571697,1.364352395723691,0.19659106803662815,0.5637398236534469,0.9999999985527118,0.28452393094131717
ENZYMES,NetLSD,205,0,22,2.6116043108819813e-05,8.072328610109203e-05,2.6595850661815455e-05,0.31798668024031296,0.9999875107990591,0.33216092310943773
ENZYMES,GIN,569,3,45,0.5810449123382568,1.1772030591964722,0.2215157449245453,0.4546353260969013,0.9999999990852011,0.20264233573041662
ENZYMES,Graph2Vec,569,3,45,0.9875042340586832,1.4268781911943211,0.17737341242830842,0.5218103621097472,0.9999999989116569,0.1930431385154313
ENZYMES,NetLSD,569,3,45,5.898227905712064e-06,1.7225504690965288e-05,4.932489720332277e-06,0.3354492640622137,0.9999413369969207,0.2893546596530401
IMDB-MULTI,GIN,471,0,7,0.02058863826096058,0.02058863826096058,0.0,0.0,0.0,0.0
IMDB-MULTI,Graph2Vec,471,0,7,1.2533907237781143,1.2533907237781143,0.0,0.0,0.0,0.0
IMDB-MULTI,NetLSD,471,0,7,0.00029895286842251956,0.00029895286842251956,0.0,0.0,0.0,0.0
IMDB-MULTI,GIN,9,0,22,0.011036583222448826,0.029068345203995705,0.004354666452854872,0.18216580565270293,0.9999999546448008,0.19750677805231687
IMDB-MULTI,Graph2Vec,9,0,22,1.0011850437762269,1.2831130852117947,0.15731797350725854,0.5761881437505688,0.9999999984967375,0.23649021146503268
IMDB-MULTI,NetLSD,9,0,22,0.0003836534523561717,0.008388146570806776,0.0017467237029343116,0.04556853311772262,0.9999998807630498,0.20827400724636136
IMDB-MULTI,GIN,1499,2,20,0.20822110772132874,0.20822109282016754,1.4901161193847656e-08,0.0,0.0,0.0
IMDB-MULTI,Graph2Vec,1499,2,20,0.9832351388173555,0.9832351388173554,1.1102230246251565e-16,0.0,0.0,0.0
IMDB-MULTI,NetLSD,1499,2,20,3.827070898854146e-06,3.827070898854146e-06,0.0,0.0,0.0,0.0
IMDB-MULTI,GIN,54,0,16,0.024420728906989098,0.04157833755016327,0.005327941849827766,0.20454534153422338,0.9999999536383769,0.24701203400765293
IMDB-MULTI,Graph2Vec,54,0,16,1.1222204680056906,1.4062795765208662,0.1357039600064246,0.3484967006253803,0.9999999977064516,0.31124359233993776
IMDB-MULTI,NetLSD,54,0,16,0.00012465659517327948,0.0018483860617338754,0.000445066246871966,0.0630844322290334,0.9999994564605164,0.24191107802124728
IMDB-MULTI,GIN,1411,2,10,0.0510978028178215,0.0510978065431118,3.725290298461914e-09,0.0,0.0,0.0
IMDB-MULTI,Graph2Vec,1411,2,10,0.8793824220778441,0.8793824220778442,1.1102230246251565e-16,0.0,0.0,0.0
IMDB-MULTI,NetLSD,1411,2,10,6.698615053779555e-05,6.698615053779555e-05,0.0,0.0,0.0,0.0
IMDB-MULTI,GIN,1157,2,7,0.02058863826096058,0.02058863826096058,0.0,0.0,0.0,0.0
IMDB-MULTI,Graph2Vec,1157,2,7,1.2533907237781143,1.2533907237781143,0.0,0.0,0.0,0.0
IMDB-MULTI,NetLSD,1157,2,7,0.00029895286842251956,0.00029895286842251956,0.0,0.0,0.0,0.0
